text,label
"good with dogs","dog_friendly"
"friendly with dogs","dog_friendly"
"cat that gets along with dogs","dog_friendly"
"cat that is good with dogs","dog_friendly"
"best cat for a home with dogs","dog_friendly"
"cat breed that likes dogs","dog_friendly"
"cat that can live with dogs","dog_friendly"
"cat that coexists with dogs","dog_friendly"
"cat that tolerates dogs","dog_friendly"
"cat that is calm around dogs","dog_friendly"
"cat safe around dogs","dog_friendly"
"cat that won’t fight dogs","dog_friendly"
"cat that won’t attack dogs","dog_friendly"
"cat not aggressive to dogs","dog_friendly"
"cat that is gentle with dogs","dog_friendly"
"dog compatible cat","dog_friendly"
"dog-friendly cat breed","dog_friendly"
"cat that plays well with dogs","dog_friendly"
"cat that is okay with dogs","dog_friendly"
"cat comfortable around dogs","dog_friendly"
"cat friendly to other pets and dogs","dog_friendly"
"cat for multi pet home with a dog","dog_friendly"
"cat for a house with a dog","dog_friendly"
"cat for a family with dogs","dog_friendly"
"cat for apartment with a dog","dog_friendly"
"cat that adapts to dogs","dog_friendly"
"cat that accepts dogs","dog_friendly"
"cat that is relaxed around dogs","dog_friendly"
"cat that is social with dogs","dog_friendly"
"cat that is not scared of dogs","dog_friendly"
"cat that can handle dogs","dog_friendly"
"cat that can be around dogs","dog_friendly"
"cats good with big dogs","dog_friendly"
"cats good with small dogs","dog_friendly"
"cat good with puppies","dog_friendly"
"cat that is fine with puppies","dog_friendly"
"cat okay with a new dog","dog_friendly"
"cat that can be introduced to a dog","dog_friendly"
"cat for dog owners","dog_friendly"
"best cat breed if i have a dog","dog_friendly"
"which cat breeds are good with dogs","dog_friendly"
"recommend a cat that gets along with dogs","dog_friendly"
"cat breed for homes with dogs","dog_friendly"
"cat that is friendly with dogs","dog_friendly"
"cat that doesn't mind dogs","dog_friendly"
"cat that is tolerant of dogs","dog_friendly"
"cat that is pet-friendly for dogs","dog_friendly"
"cat that is dog friendly and calm","dog_friendly"
"cat that can share space with dogs","dog_friendly"
"cat that can share a house with dogs","dog_friendly"
"cat that can share an apartment with dogs","dog_friendly"
"cat that is good with dogs at home","dog_friendly"
"cat that is good with dogs indoors","dog_friendly"
"cat that is good with dogs outdoors","dog_friendly"
"cat that will not chase dogs","dog_friendly"
"cat that will not hiss at dogs","dog_friendly"
"cat that will not swipe at dogs","dog_friendly"
"cat that will not stress around dogs","dog_friendly"
"cat that can live with my dog","dog_friendly"
"cat that can live with two dogs","dog_friendly"
"cat that can live with a senior dog","dog_friendly"
"cat that can live with an energetic dog","dog_friendly"
"cat that can live with a calm dog","dog_friendly"
"cat that can live with a large dog","dog_friendly"
"cat that can live with a small dog","dog_friendly"
"cat breed that is okay with dogs","dog_friendly"
"cat breed that is comfortable with dogs","dog_friendly"
"cat breed that is tolerant with dogs","dog_friendly"
"cat breed that is social with dogs","dog_friendly"
"cat breed that is friendly with dogs","dog_friendly"
"cat breed that adjusts to dogs","dog_friendly"
"cat breed that is not aggressive with dogs","dog_friendly"
"cat that is chill with dogs","dog_friendly"
"cat that vibes with dogs","dog_friendly"
"cat that is cool with dogs","dog_friendly"
"cat that doesn't freak out around dogs","dog_friendly"
"cat that won't run from dogs","dog_friendly"
"cat that won't hide because of dogs","dog_friendly"
"cat that can play near dogs","dog_friendly"
"cat that can sleep near dogs","dog_friendly"
"cat that can eat near dogs","dog_friendly"
"cat that can be around barking dogs","dog_friendly"
"cat that is okay with barking dogs","dog_friendly"
"cat that handles dog noise","dog_friendly"
"cat that can share toys with dogs","dog_friendly"
"cat that can share living room with dogs","dog_friendly"
"cat breed good for dog and cat household","dog_friendly"
"best cat for dog and cat household","dog_friendly"
"cat breed for someone who owns dogs","dog_friendly"
"looking for a dog friendly cat","dog_friendly"
"need a cat that is dog friendly","dog_friendly"
"dog friendly cats","dog_friendly"
"dog-friendly cats","dog_friendly"
"cat friendly dogs","dog_friendly"
"cat that likes being around dogs","dog_friendly"
"cat that won't be stressed by dogs","dog_friendly"
"cat that can be trained to live with dogs","dog_friendly"
"cat okay with dogs in the same house","dog_friendly"
"cat good with dogs in the same room","dog_friendly"
"cat good with dogs in the same home","dog_friendly"
"cat friendly for dog owners","dog_friendly"
"cat that gets along with my dog","dog_friendly"
"cat that can live peacefully with dogs","dog_friendly"
"cat that is peaceful with dogs","dog_friendly"
"cat for a home with multiple dogs","dog_friendly"
"cat that can handle multiple dogs","dog_friendly"
"cat that can live with my golden retriever","dog_friendly"
"cat that can live with my chihuahua","dog_friendly"
"cat that can live with my husky","dog_friendly"
"cat breed that can live with dogs","dog_friendly"
"cat that is dog friendly and social","dog_friendly"
"cat that is dog friendly and gentle","dog_friendly"
"cat that is dog friendly and adaptable","dog_friendly"
"cat that is dog friendly for beginners","dog_friendly"
"good with kids","child_friendly"
"good with children","child_friendly"
"kid friendly cat","child_friendly"
"child friendly cat","child_friendly"
"family friendly cat","child_friendly"
"best cat for kids","child_friendly"
"best cat for children","child_friendly"
"best cat for a family","child_friendly"
"cat safe for kids","child_friendly"
"cat safe for children","child_friendly"
"cat safe for toddlers","child_friendly"
"cat safe for babies","child_friendly"
"cat for home with kids","child_friendly"
"cat for home with children","child_friendly"
"cat for home with toddlers","child_friendly"
"cat for a family with small kids","child_friendly"
"cat for a family with young children","child_friendly"
"gentle cat for kids","child_friendly"
"gentle cat for children","child_friendly"
"patient cat with kids","child_friendly"
"patient cat with children","child_friendly"
"cat that tolerates kids","child_friendly"
"cat that tolerates children","child_friendly"
"cat that likes kids","child_friendly"
"cat that likes children","child_friendly"
"cat that is calm around kids","child_friendly"
"cat that is calm around children","child_friendly"
"cat that is friendly with kids","child_friendly"
"cat that is friendly with children","child_friendly"
"cat that is playful with kids","child_friendly"
"cat that plays with children","child_friendly"
"cat that is good with noisy kids","child_friendly"
"cat that handles noisy children","child_friendly"
"cat that is not aggressive with kids","child_friendly"
"cat that won't scratch kids","child_friendly"
"cat that won't bite kids","child_friendly"
"cat that is gentle with toddlers","child_friendly"
"cat good with toddlers","child_friendly"
"cat good with babies","child_friendly"
"cat good with small children","child_friendly"
"cat good with young kids","child_friendly"
"cat that is affectionate with kids","child_friendly"
"cat that is loving with children","child_friendly"
"cat breed good with kids","child_friendly"
"cat breed good with children","child_friendly"
"cat breed for families","child_friendly"
"best family cat breed","child_friendly"
"best cat breed for families with kids","child_friendly"
"which cat breeds are good with kids","child_friendly"
"which cats are best for kids","child_friendly"
"recommend a cat for kids","child_friendly"
"recommend a cat for children","child_friendly"
"cat for first time family","child_friendly"
"cat for a family new to cats","child_friendly"
"cat for my kids","child_friendly"
"cat for my children","child_friendly"
"kid safe cat breed","child_friendly"
"child safe cat breed","child_friendly"
"cat that is okay with kids","child_friendly"
"cat that can live with kids","child_friendly"
"cat that can live with toddlers","child_friendly"
"cat that can live with babies","child_friendly"
"cat that can be around kids","child_friendly"
"cat that can be around toddlers","child_friendly"
"cat that can be around children","child_friendly"
"cat that is relaxed around kids","child_friendly"
"cat that is chill with kids","child_friendly"
"cat that is chill with children","child_friendly"
"cat that is good for families","child_friendly"
"family cat recommendation","child_friendly"
"looking for a family cat","child_friendly"
"need a kid friendly cat","child_friendly"
"need a child friendly cat","child_friendly"
"cat breed for kids","child_friendly"
"cat breed for children","child_friendly"
"cat breed for toddlers","child_friendly"
"cat that is gentle and patient with kids","child_friendly"
"cat that is gentle and calm for children","child_friendly"
"cat that is sweet with kids","child_friendly"
"cat that is sweet with children","child_friendly"
"cat that doesn't mind being handled by kids","child_friendly"
"cat that doesn't mind kids touching it","child_friendly"
"cat that doesn't mind children touching it","child_friendly"
"cat that is tolerant of child noise","child_friendly"
"cat that can handle kids playing","child_friendly"
"cat that can handle children playing","child_friendly"
"cat that can handle toddlers running","child_friendly"
"cat that can handle kids running around","child_friendly"
"cat that won't get stressed by kids","child_friendly"
"cat that won't be stressed by children","child_friendly"
"cat that is good with kids and calm","child_friendly"
"cat that is good with kids and gentle","child_friendly"
"cat that is good with kids and affectionate","child_friendly"
"cat good with kids for apartment","child_friendly"
"cat good with kids for house","child_friendly"
"cat good with kids for beginners","child_friendly"
"cat that is kid-friendly","child_friendly"
"kid-friendly cat","child_friendly"
"child-friendly cat","child_friendly"
"best cat if you have kids","child_friendly"
"best cat if you have children","child_friendly"
"best cat for toddlers and kids","child_friendly"
"cat that loves families","child_friendly"
"cat that enjoys children","child_friendly"
"cat that is well behaved with kids","child_friendly"
"cat that is safe around little kids","child_friendly"
"cat that is safe around little children","child_friendly"
"cat that is patient with toddlers","child_friendly"
"cat that is gentle with babies","child_friendly"
"cat that will be friendly to my kids","child_friendly"
"cat that can be a good family pet","child_friendly"
"low maintenance cat","grooming"
"cat that needs little grooming","grooming"
"cat that needs minimal grooming","grooming"
"easy to groom cat","grooming"
"easy grooming cat","grooming"
"low grooming cat breed","grooming"
"cat with low grooming needs","grooming"
"cat with minimal grooming needs","grooming"
"cat that doesn't need much grooming","grooming"
"cat that doesn't need brushing often","grooming"
"cat that doesn't need daily brushing","grooming"
"cat that rarely needs brushing","grooming"
"cat that requires little brushing","grooming"
"cat that requires less grooming","grooming"
"cat that is easy to maintain grooming-wise","grooming"
"cat that is easy to take care of","grooming"
"easy care cat","grooming"
"cat with easy care","grooming"
"cat with low upkeep","grooming"
"cat that is not high maintenance","grooming"
"best low maintenance cat breed","grooming"
"best easy care cat breed","grooming"
"cat for busy owners","grooming"
"cat for busy people","grooming"
"cat for someone who is busy","grooming"
"cat that doesn't require frequent grooming","grooming"
"cat that doesn't require frequent brushing","grooming"
"cat that doesn't require grooming sessions","grooming"
"cat that doesn't need grooming appointments","grooming"
"cat that doesn't need professional grooming","grooming"
"cat that doesn't need salon visits","grooming"
"cat with simple grooming routine","grooming"
"cat with simple grooming needs","grooming"
"cat with low grooming requirements","grooming"
"cat with little grooming","grooming"
"cat with minimal coat care","grooming"
"cat that needs little coat care","grooming"
"cat with low coat maintenance","grooming"
"cat that is easy to care for","grooming"
"cat that is easy maintenance","grooming"
"easy maintenance cat","grooming"
"easy maintenance cat breed","grooming"
"cat breed easy to maintain","grooming"
"cat breed with low grooming needs","grooming"
"cat breed with minimal grooming","grooming"
"which cat needs the least grooming","grooming"
"which cats are low maintenance grooming","grooming"
"recommend a low grooming cat","grooming"
"recommend an easy to groom cat","grooming"
"cat that doesn't need trimming","grooming"
"cat that doesn't need haircuts","grooming"
"cat that doesn't need coat trimming","grooming"
"cat that doesn't need frequent baths","grooming"
"cat that needs fewer baths","grooming"
"cat that is easy to clean","grooming"
"cat that stays clean easily","grooming"
"cat that grooms itself well","grooming"
"cat that is naturally clean","grooming"
"cat with low grooming effort","grooming"
"cat with low effort grooming","grooming"
"low effort grooming cat","grooming"
"cat with low maintenance grooming","grooming"
"cat with minimal brushing","grooming"
"cat that needs minimal brushing","grooming"
"cat that needs brushing rarely","grooming"
"cat that needs brushing sometimes","grooming"
"cat that doesn't mat easily","grooming"
"cat coat that doesn't tangle easily","grooming"
"cat that doesn't require detangling","grooming"
"cat that doesn't get knots in fur","grooming"
"cat that doesn't get tangles","grooming"
"cat breed with less grooming work","grooming"
"cat breed with simple coat care","grooming"
"cat breed for low maintenance lifestyle","grooming"
"best cat for low maintenance lifestyle","grooming"
"best cat for busy lifestyle","grooming"
"cat with low maintenance care","grooming"
"cat with minimal care needs","grooming"
"cat that doesn't require much care","grooming"
"cat that is easy upkeep","grooming"
"cat that is low upkeep","grooming"
"cat that is low maintenance for grooming","grooming"
"cat with low grooming time","grooming"
"cat that won't take much grooming time","grooming"
"cat that needs little grooming attention","grooming"
"cat that needs little grooming work","grooming"
"cat that needs little coat maintenance","grooming"
"cat that is easy to maintain coat","grooming"
"cat that does not need regular brushing","grooming"
"cat that does not need frequent brushing","grooming"
"cat that is easy for first time owners grooming","grooming"
"low grooming needs cat","grooming"
"minimal grooming needs cat","grooming"
"easy groom cat breed","grooming"
"cat grooming low maintenance","grooming"
"low maintenance grooming cat breed","grooming"
"cat that needs less grooming and easy care","grooming"
"cat that is simple to care for grooming","grooming"
"cat that is easy to maintain and low grooming","grooming"
"cat with very low grooming requirements","grooming"
"cat breed that requires little grooming","grooming"
"cat breed that requires minimal grooming","grooming"
"cat breed that is low maintenance grooming","grooming"
"cat that is easy to groom for busy owners","grooming"
"cat that doesn't require much grooming at all","grooming"
"cat that needs almost no grooming","grooming"
"cat that needs very little grooming","grooming"
"cat with minimal grooming effort","grooming"
"cat with minimal grooming time","grooming"
